误差范围：1.6121102571487427
负 | 实际值：0.0 | 预测值（含误差范围）：1.578342616558075
负 | 实际值：3.0 | 预测值（含误差范围）：1.5884821489453316
负 | 实际值：-2.0 | 预测值（含误差范围）：1.626972982659936
负 | 实际值：3.0 | 预测值（含误差范围）：1.5994625827297568
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6329346559941769
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6066431389190257
胜 | 实际值：1.0 | 预测值（含误差范围）：1.589647226035595
负 | 实际值：0.0 | 预测值（含误差范围）：1.6053298199549317
负 | 实际值：3.0 | 预测值（含误差范围）：1.6069484669715166
负 | 实际值：-5.0 | 预测值（含误差范围）：1.6318597737699747
负 | 实际值：4.0 | 预测值（含误差范围）：1.5823979675769806
负 | 实际值：0.0 | 预测值（含误差范围）：1.633068010210991
胜 | 实际值：1.0 | 预测值（含误差范围）：1.630155324935913
负 | 实际值：-1.0 | 预测值（含误差范围）：1.632147017866373
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6243480704724789
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5864943973720074
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6030617393553257
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6168949916027486
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6278706807643175
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6083558471873403
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6278685051947832
负 | 实际值：-1.0 | 预测值（含误差范围）：1.620992767624557
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6057524885982275
负 | 实际值：0.0 | 预测值（含误差范围）：1.6242368733510375
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6236016601324081
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6325215548276901
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6088389195501804
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6224665939807892
负 | 实际值：0.0 | 预测值（含误差范围）：1.5867243595421314
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5948553420603275
负 | 实际值：0.0 | 预测值（含误差范围）：1.6194899380207062
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6171581242233515
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6209695059806108
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6104842933127657
负 | 实际值：3.0 | 预测值（含误差范围）：1.5960127674043179
负 | 实际值：-3.0 | 预测值（含误差范围）：1.624655693769455
胜 | 实际值：2.0 | 预测值（含误差范围）：1.593372754752636
负 | 实际值：-1.0 | 预测值（含误差范围）：1.62001568172127
胜 | 实际值：2.0 | 预测值（含误差范围）：1.606358746998012
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6247814577072859
负 | 实际值：3.0 | 预测值（含误差范围）：1.6037614000961185
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6304784901440144
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6089664355386049
负 | 实际值：-2.0 | 预测值（含误差范围）：1.624191040173173
负 | 实际值：-1.0 | 预测值（含误差范围）：1.5988532919436693
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5950584411621094
负 | 实际值：0.0 | 预测值（含误差范围）：1.606999366544187
负 | 实际值：0.0 | 预测值（含误差范围）：1.6090763814281672
负 | 实际值：3.0 | 预测值（含误差范围）：1.6102774852188304
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6305935755372047
胜 | 实际值：2.0 | 预测值（含误差范围）：1.605074162594974
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6252991538494825
负 | 实际值：0.0 | 预测值（含误差范围）：1.592486534267664
负 | 实际值：3.0 | 预测值（含误差范围）：1.5982471806928515
负 | 实际值：-1.0 | 预测值（含误差范围）：1.628199702128768
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6188522148877382
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6048433082178235
负 | 实际值：4.0 | 预测值（含误差范围）：1.5830158330500126
负 | 实际值：0.0 | 预测值（含误差范围）：1.6273691672831774
负 | 实际值：0.0 | 预测值（含误差范围）：1.6233754269778728
胜 | 实际值：1.0 | 预测值（含误差范围）：1.622192783281207
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6246436052024364
负 | 实际值：-2.0 | 预测值（含误差范围）：1.594591449946165
负 | 实际值：4.0 | 预测值（含误差范围）：1.5853629596531391
负 | 实际值：0.0 | 预测值（含误差范围）：1.6288937833160162
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6247306978330016
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6086385091766715
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6213916558772326
负 | 实际值：3.0 | 预测值（含误差范围）：1.5990230301395059
负 | 实际值：-5.0 | 预测值（含误差范围）：1.628325842320919
负 | 实际值：5.0 | 预测值（含误差范围）：1.578080415725708
负 | 实际值：0.0 | 预测值（含误差范围）：1.637542001903057
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6357796415686607
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6174909733235836
负 | 实际值：0.0 | 预测值（含误差范围）：1.5947207137942314
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5985056031495333
负 | 实际值：0.0 | 预测值（含误差范围）：1.6232732748612761
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6206366494297981
负 | 实际值：0.0 | 预测值（含误差范围）：1.6066892193630338
胜 | 实际值：2.0 | 预测值（含误差范围）：1.608126066159457
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6243677791208029
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6061884658411145
负 | 实际值：0.0 | 预测值（含误差范围）：1.6248078010976315
负 | 实际值：0.0 | 预测值（含误差范围）：1.624784268438816
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6243161475285888
负 | 实际值：-1.0 | 预测值（含误差范围）：1.600209379568696
负 | 实际值：0.0 | 预测值（含误差范围）：1.5980354323983192
负 | 实际值：0.0 | 预测值（含误差范围）：1.6029232665896416
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6053506145253778
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6153391632251441
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6259286999702454
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6182846063748002
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5899921096861362
负 | 实际值：3.0 | 预测值（含误差范围）：1.6042321436107159
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6290794480592012
负 | 实际值：0.0 | 预测值（含误差范围）：1.6225017933174968
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6210597734898329
负 | 实际值：-2.0 | 预测值（含误差范围）：1.623590162023902
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6046585459262133
负 | 实际值：0.0 | 预测值（含误差范围）：1.5985688157379627
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6030383231118321
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6142492482904345
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6194048426114023
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6093447473831475
负 | 实际值：0.0 | 预测值（含误差范围）：1.6174504063092172
负 | 实际值：0.0 | 预测值（含误差范围）：1.6176880383864045
负 | 实际值：3.0 | 预测值（含误差范围）：1.6182757699862123
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6332993917167187
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6274898760020733
负 | 实际值：-3.0 | 预测值（含误差范围）：1.629877645522356
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5943222884088755
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6076862076297402
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5829654298722744
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6087542553432286
胜 | 实际值：1.0 | 预测值（含误差范围）：1.620243139564991
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6227664165198803
负 | 实际值：-2.0 | 预测值（含误差范围）：1.614197343122214
负 | 实际值：0.0 | 预测值（含误差范围）：1.5956165939569473
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6011950140818954
负 | 实际值：0.0 | 预测值（含误差范围）：1.6153778592124581
负 | 实际值：0.0 | 预测值（含误差范围）：1.614374928176403
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6132115342188627
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6183209521695971
胜 | 实际值：1.0 | 预测值（含误差范围）：1.601514669135213
负 | 实际值：0.0 | 预测值（含误差范围）：1.6137191167799756
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6130100841401145
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6234365459531546
负 | 实际值：0.0 | 预测值（含误差范围）：1.6200808603316545
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6195652140304446
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5981062278151512
负 | 实际值：3.0 | 预测值（含误差范围）：1.6095549180172384
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6297957487404346
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6152626008260995
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6245482172816992
负 | 实际值：3.0 | 预测值（含误差范围）：1.6108838494401425
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6328253038227558
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6173821864649653
负 | 实际值：3.0 | 预测值（含误差范围）：1.5850430466234684
负 | 实际值：0.0 | 预测值（含误差范围）：1.6228442136198282
胜 | 实际值：2.0 | 预测值（含误差范围）：1.621826246380806
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6308618113398552
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6036509396508336
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6146490778774023
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6037270752713084
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5903680436313152
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6026229336857796
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6240804586559534
负 | 实际值：-4.0 | 预测值（含误差范围）：1.6122292107902467
胜 | 实际值：1.0 | 预测值（含误差范围）：1.577958919107914
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5952613726258278
胜 | 实际值：2.0 | 预测值（含误差范围）：1.620819360949099
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6304578185081482
负 | 实际值：3.0 | 预测值（含误差范围）：1.6008177362382412
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6300915516912937
负 | 实际值：-2.0 | 预测值（含误差范围）：1.622873019427061
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5968867912888527
负 | 实际值：0.0 | 预测值（含误差范围）：1.6221016319468617
负 | 实际值：-4.0 | 预测值（含误差范围）：1.620389824733138
负 | 实际值：4.0 | 预测值（含误差范围）：1.5795887522399426
负 | 实际值：0.0 | 预测值（含误差范围）：1.6278045885264874
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6253463169559836
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6080559035763144
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6274240538477898
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6210939260199666
