第0次训练后，新的数据集测试
误差范围：1.4231383800506592
胜 | 实际值：2.0 | 预测值（含误差范围）：2.0242013335227966
负 | 实际值：-3.0 | 预测值（含误差范围）：0.10856544971466064
负 | 实际值：1.0 | 预测值（含误差范围）：2.180365800857544
负 | 实际值：-1.0 | 预测值（含误差范围）：1.3750809617340565
负 | 实际值：1.0 | 预测值（含误差范围）：4.085810661315918
负 | 实际值：0.0 | 预测值（含误差范围）：1.494604468345642
负 | 实际值：-1.0 | 预测值（含误差范围）：2.128411650657654
负 | 实际值：1.0 | 预测值（含误差范围）：4.691505432128906
负 | 实际值：1.0 | 预测值（含误差范围）：2.3520249724388123
负 | 实际值：-2.0 | 预测值（含误差范围）：1.7053443491458893
胜 | 实际值：3.0 | 预测值（含误差范围）：3.1870464086532593
负 | 实际值：-4.0 | 预测值（含误差范围）：0.0070302486419677734
负 | 实际值：0.0 | 预测值（含误差范围）：2.755400061607361
胜 | 实际值：4.0 | 预测值（含误差范围）：3.8474280834198
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.9632725715637207
负 | 实际值：-2.0 | 预测值（含误差范围）：1.1248550713062286
胜 | 实际值：3.0 | 预测值（含误差范围）：3.426888942718506
负 | 实际值：-3.0 | 预测值（含误差范围）：0.4511401057243347
负 | 实际值：1.0 | 预测值（含误差范围）：3.4496262073516846
负 | 实际值：-1.0 | 预测值（含误差范围）：3.678905725479126
第1次训练后，新的数据集测试
误差范围：2.2856228351593018
负 | 实际值：4.0 | 预测值（含误差范围）：6.621481657028198
胜 | 实际值：-1.0 | 预测值（含误差范围）：-1.7040750980377197
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.6458616256713867
胜 | 实际值：0.0 | 预测值（含误差范围）：0.4672051668167114
负 | 实际值：-2.0 | 预测值（含误差范围）：1.3547388315200806
负 | 实际值：0.0 | 预测值（含误差范围）：4.322207927703857
负 | 实际值：-1.0 | 预测值（含误差范围）：5.10519552230835
负 | 实际值：0.0 | 预测值（含误差范围）：7.6712329387664795
负 | 实际值：2.0 | 预测值（含误差范围）：7.678217649459839
负 | 实际值：-1.0 | 预测值（含误差范围）：2.4240246564149857
负 | 实际值：-1.0 | 预测值（含误差范围）：5.078021049499512
负 | 实际值：2.0 | 预测值（含误差范围）：6.872878313064575
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6869832277297974
胜 | 实际值：-1.0 | 预测值（含误差范围）：-1.7045612335205078
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.27446937561035156
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5591508150100708
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.7079362869262695
胜 | 实际值：1.0 | 预测值（含误差范围）：0.8902865648269653
负 | 实际值：-2.0 | 预测值（含误差范围）：1.3870843052864075
负 | 实际值：2.0 | 预测值（含误差范围）：3.2487837076187134
第2次训练后，新的数据集测试
误差范围：1.6167380809783936
负 | 实际值：-1.0 | 预测值（含误差范围）：1.8120265007019043
负 | 实际值：1.0 | 预测值（含误差范围）：2.911469578742981
